V1,V2,V3
eat,ate,eaten
bear,bare,borne
beat,beat,beaten
become,became,become
come,came,come
drink,drank,drunk
draw,drew,drawn
drive,drove,driven
dig,dug,dug
fall,fell,fallen
feel,felt,felt
forget,forgot,forgotten
fight,fought,fought
find,found,found
grow,grew,grown
hold,held,held
hang,hung,hung
keep,kept,kept
know,knew,known
lay,laid,laid
lie,lay,lain
lead,led,led
leave,left,left
lend,lent,lent
lose,lost,lost
make,made,made
run,ran,run
ring,rang,rung
ride,rode,ridden
rise,rose,risen
say,said,said
sink,sank,sunk
sit,sat,sat
see,saw,seen
sleep,slept,slept
sell,sold,sold
spend,spent,spent
speak,spoke,spoken
swim,swam,swum
teach,taught,taught
tell,told,told
take,took,taken
tear,tore,torn
go,went,gone
wake,woke,woken
win,won,won
wear,wore,worn
will,would,would
write,wrote,written
think,though,though
begin,began,begun
bite,bit,bitten
blow,blew,blown
bring,brought,brought
buy,bought,bought
catch,caught,caught
choose,chose,chosen
